signer,pool,total_profit,attack_count
9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,GoonFi,0.018,1
9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,SolFiV2,0.009,1
9XUWb3unwaGczFkEJAZiQd2xaZmm6NK68G775JEn2kaZ,HumidiFi,0.171,1
9XUWb3unwaGczFkEJAZiQd2xaZmm6NK68G775JEn2kaZ,GoonFi,0.045,1
9XUWb3unwaGczFkEJAZiQd2xaZmm6NK68G775JEn2kaZ,TesseraV,0.036,1
9XUWb3unwaGczFkEJAZiQd2xaZmm6NK68G775JEn2kaZ,BisonFi,0.027,1
9XUWb3unwaGczFkEJAZiQd2xaZmm6NK68G775JEn2kaZ,SolFiV2,0.018,1
9m5oyKCbccxTGphZkdymU5MEpWZfhrm3YVmCJmni9Kfy,HumidiFi,0.036,1
9m5oyKCbccxTGphZkdymU5MEpWZfhrm3YVmCJmni9Kfy,SolFiV2,0.018,1
9m5oyKCbccxTGphZkdymU5MEpWZfhrm3YVmCJmni9Kfy,GoonFi,0.009,1
9osj5ksZcrYVeft5pjN1KUNpuM9xiZpjLPxtiMHG4AT5,HumidiFi,0.252,1
9osj5ksZcrYVeft5pjN1KUNpuM9xiZpjLPxtiMHG4AT5,GoonFi,0.135,1
9osj5ksZcrYVeft5pjN1KUNpuM9xiZpjLPxtiMHG4AT5,ZeroFi,0.027,1
9osj5ksZcrYVeft5pjN1KUNpuM9xiZpjLPxtiMHG4AT5,BisonFi,0.018,1
9osj5ksZcrYVeft5pjN1KUNpuM9xiZpjLPxtiMHG4AT5,TesseraV,0.018,1
9osj5ksZcrYVeft5pjN1KUNpuM9xiZpjLPxtiMHG4AT5,SolFiV2,0.009,1
A3SBUE2ERJkhRyUGRzoptZJtETqjWPViJimfnefCN8RZ,HumidiFi,0.009,1
A3SBUE2ERJkhRyUGRzoptZJtETqjWPViJimfnefCN8RZ,SolFiV2,0.009,1
A3vFkGBrj4MRugemEXWdSFztWgBXi9eQPtD3V28Va7WH,HumidiFi,0.6930000000000001,1
A3vFkGBrj4MRugemEXWdSFztWgBXi9eQPtD3V28Va7WH,BisonFi,0.216,1
A3vFkGBrj4MRugemEXWdSFztWgBXi9eQPtD3V28Va7WH,ObricV2,0.045,1
A3vFkGBrj4MRugemEXWdSFztWgBXi9eQPtD3V28Va7WH,GoonFi,0.009,1
A3vFkGBrj4MRugemEXWdSFztWgBXi9eQPtD3V28Va7WH,SolFiV2,0.009,1
A3vFkGBrj4MRugemEXWdSFztWgBXi9eQPtD3V28Va7WH,ZeroFi,0.009,1
A8A9GoxfmcjY2QAQ8tYS98SqDBF6hUFDmxAKBsLw29sL,HumidiFi,0.225,1
A8A9GoxfmcjY2QAQ8tYS98SqDBF6hUFDmxAKBsLw29sL,BisonFi,0.099,1
A8A9GoxfmcjY2QAQ8tYS98SqDBF6hUFDmxAKBsLw29sL,TesseraV,0.072,1
A8A9GoxfmcjY2QAQ8tYS98SqDBF6hUFDmxAKBsLw29sL,SolFiV2,0.063,1
A8A9GoxfmcjY2QAQ8tYS98SqDBF6hUFDmxAKBsLw29sL,GoonFi,0.045,1
A8A9GoxfmcjY2QAQ8tYS98SqDBF6hUFDmxAKBsLw29sL,ZeroFi,0.018,1
AAAAhimgGTLkft3X2J8F7U9DAaRhxHGzdedhFtAGeTsR,HumidiFi,0.027,1
AAAAhimgGTLkft3X2J8F7U9DAaRhxHGzdedhFtAGeTsR,TesseraV,0.018,1
AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,HumidiFi,1.089,1
AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,TesseraV,0.5760000000000001,1
AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,BisonFi,0.279,1
