amm_trade,attacker_signer,back_running,fat_sandwich,front_running,sandwich,validator,sandwich_complete,cost_sol,profit_sol,net_profit_sol,confidence,classification
BisonFi,datouWbnKthiYdWN3K2kypTs5YoykXSekSQVmDPoeo6,0,6,0,0,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,3,0.003,0.03,0.027,high,FAT_SANDWICH
BisonFi,enzog436vHy38bMhNR9XDENrvhxPK7y8wBQri852rhG,0,64,0,0,Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,32,0.032,0.32,0.288,high,FAT_SANDWICH
BisonFi,foxMFk9faHggM4HWQWETCPSDvMbWx8LSv4c9CrkmBx6,0,110,0,0,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,55,0.055,0.55,0.495,high,FAT_SANDWICH
BisonFi,ggEzRKFZz4V7wU6mizcUrMqHNB5ptQsLT7sxRkyoe4e,0,12,0,0,Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,6,0.006,0.06,0.054,high,FAT_SANDWICH
BisonFi,gtagyESa99t49VmUqnnfsuowYnigSNKuYXdXWyXWNdd,0,2,0,0,HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,1,0.001,0.01,0.009,high,FAT_SANDWICH
BisonFi,han5oo9sy98473nuWU7PwkdgpJVFvQEQ14S5CCdbeYQ,0,70,0,0,CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,35,0.035,0.35,0.315,high,FAT_SANDWICH
BisonFi,j1oeQoPeuEDmjvyMwBmCWexzCQup77kbKKxV59CnYbd,0,3,0,0,CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,1,0.001,0.01,0.009,medium,FAT_SANDWICH
BisonFi,jMjhRzuVvkeKxDQDoLJJgcgc3brmBRPzizgJxZANAUU,0,9,0,0,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,4,0.004,0.04,0.036,high,FAT_SANDWICH
BisonFi,k1bWgJv1fdVMCqgDM2jkEfhEzKW7XgGpj8vGGKjgSnJ,0,20,0,0,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,10,0.01,0.1,0.09,high,FAT_SANDWICH
BisonFi,k2btrGEvdgv7UmgVbD7Phci9EGWCo9QPU6T7yga9xs9,0,20,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,10,0.01,0.1,0.09,high,FAT_SANDWICH
BisonFi,k3bS5WfZ5P2NTgkVSwdbVrveYc25iXiEHYfZfVruBGq,0,8,0,0,2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX,4,0.004,0.04,0.036,high,FAT_SANDWICH
BisonFi,o721S2ZPSjJTEC9B5HgXdqZFPVq1avjKzRfZpTKjV9g,0,9,0,0,Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,4,0.004,0.04,0.036,high,FAT_SANDWICH
BisonFi,rvj7Dc3xGh1eVFw9UTRpkxks9cdYyJd4MQk4Bk9zA9b,0,9,0,0,bxrAptB5ZpZBhoLedJpoGWY5hBjjt3zvVBr2323Rrq6,4,0.004,0.04,0.036,high,FAT_SANDWICH
BisonFi,theo9SfM3dKgKFbq4kFVmEXwSQ1pdr61wDqEWXKJpYs,0,35,0,0,ABC1U4cf9DZMwqy8ktEr4WJj8VHmVBQibbC57gEJthwY,17,0.017,0.17,0.153,medium,FAT_SANDWICH
