validator,back_running_count,front_running_count,sandwich_count,fat_sandwich_count,sandwich_complete_count,total_cost_sol,total_profit_sol,net_profit_sol,avg_confidence,mev_events,mev_risk_score
Sh1ro1CaaVjNuihgNK6kay7jwcWzSqD2fdix6RNPaSh,0,0,1,10,5,0.005,0.05,0.045,,1,
SWiz7QwnYPm61pWWUUkMhj4r5pZLP1SvYibdHcB2cov,0,0,0,11,5,0.005,0.05,0.045,,1,
RBFiUqjYuy4mupzZaU96ctXJBy23sRBRsL3KivDAsFM,0,0,0,13,5,0.005,0.05,0.045,,3,
AEAJtnjjB19XFreJH21UP8rfd12f9kxMmngwZG3tGXbP,0,0,1,9,4,0.004,0.04,0.036,,1,
vu1sGn2f1Xim6voHNLt4nLn38zNkYdLasU7hEr1TC2D,0,0,0,9,4,0.004,0.04,0.036,,2,
parafiUS6h6oLhCFwhjvEmQJKw8pF1iXsxMJdTq46dS,0,0,0,8,4,0.004,0.04,0.036,,1,
4VrjyXQT61WFSjuG3ehgqZUK1jqvYqB46veQbXLotq3n,0,0,1,10,4,0.004,0.04,0.036,,2,
vvvvbtDs9HsdsE6NskZMnb1RA6muoud1ChQuiF9QhSM,0,0,2,7,4,0.004,0.04,0.036,,1,
6yFGGAgYpBxgYPuHW4rv7hJmhKrUiXKyHkpVGaYtKrwE,0,0,0,10,4,0.004,0.04,0.036,,3,
HH5dA42XF1HxNk1TRpG6LuKfLViMYNdAz5iWrFM4hWFi,0,0,0,9,4,0.004,0.04,0.036,,2,
fishfishrD9BwrQQiAcG6YeYZVUYVJf3tb9QGQPMJqF,0,0,0,10,4,0.004,0.04,0.036,,2,
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,2,2,0,9,3,0.005,0.038,0.033,,5,
NATsUSZGohWw8xtLdxG4yus21UCkaes4FLfM2eqKbRk,0,0,0,6,3,0.003,0.03,0.027,,1,
5ejbTALcBsKQ7Cj1iSuu2mY5jqbYHqh9gF5ERXLiYj1z,0,0,0,9,3,0.003,0.03,0.027,,4,
SP9K2c8Z1aaQaqdQgC6hZMJ5UCTTnE76XNYVse7H94b,0,0,0,6,3,0.003,0.03,0.027,,1,
7CR3Jq4ny2tsr3DX3DvyjoU8TYs776MGkU6nLMWjAqCT,0,0,0,6,3,0.003,0.03,0.027,,1,
bkpk9KVsDRfrArzzmkJ9mPEvbXfQxczzQYR3QMGiR8Z,0,0,0,9,3,0.003,0.03,0.027,,4,
8hAYbagNt7CMBooFfqVJhBgLqLffpjXTWJMk8yybjJsN,0,0,0,6,3,0.003,0.03,0.027,,1,
DZVqmD4QqSWM2gUyEXdQhvt4u3NZtCRxdsn2n2nNiBRL,0,0,2,8,3,0.003,0.03,0.027,,4,
FSVdqBzx5D4UsqBLnvmH5dFx2dCm1pTPAbQWJ1PYzTJ2,0,0,0,6,3,0.003,0.03,0.027,,1,
ETuPS3kRfLufz5VSYN2ZrePoEVSZSpgVPKz3MUZpYe3x,0,0,0,10,3,0.003,0.03,0.027,,4,
ByszyWdqC3rVMWy8f6jwK5cmwkpwYdwsr7UL58xS5vnm,0,0,0,7,3,0.003,0.03,0.027,,2,
soLStaCk5TiGCpeLKa9Fvv6f5JQGMa6S3uhLh826e9N,0,0,0,7,3,0.003,0.03,0.027,,2,
5marvipGzf98hxnoJFXsZbGHSXcEQ3yRGJ4ps7D3V4ou,0,0,0,7,3,0.003,0.03,0.027,,1,
Diman2GphWLwECE3swjrAEAJniezpYLxK1edUydiDZau,0,0,0,7,3,0.003,0.03,0.027,,1,
DZv25oNCWFvGXu9tH63BiAXvG94syweGZhbvdN3HxDxT,0,0,0,5,2,0.002,0.02,0.018,,3,
EXckihF3qmguH5znjhfzLvHsbk2E3nEW2DqNh4MMnDMm,0,0,0,8,2,0.002,0.02,0.018,,5,
DZVySotZvrvJyVAcgjFtUDm93zoCaq9wBruMAUz83CWW,0,0,0,4,2,0.002,0.02,0.018,,1,
EN5F2BU5juUEWr9zRNNqKuQMi9zBUY1YLPHV5EyMrvnW,0,0,0,5,2,0.002,0.02,0.018,,2,
2Wf9V9rPeVRUTfmWdPedCJuWVr6MFfyLuigEq42DuMDc,0,0,0,5,2,0.002,0.02,0.018,,1,
anza1rXDVhy1NfVNtsbT3kSBh2jgB1BGZUKuUibSAJd,0,0,0,4,2,0.002,0.02,0.018,,1,
CEL22Qx7p85qY6gmhCZaYJrrnynJitkVRMQo6qZdT8Ns,0,0,0,4,2,0.002,0.02,0.018,,1,
AWcCdYG7Dy6GX45c6QMPbgGwgRZPKcBDT4bXGb3QrVRV,0,0,0,10,2,0.002,0.02,0.018,,7,
5EhGYUyQNrxgUbuYF4vbL2SZDT6RMfhq3yjeyevvULeC,0,0,0,6,2,0.002,0.02,0.018,,3,
6c6RrC9TWNgiVXnbZ6hehNuhyh81pZK1yAj5w2nXZTwi,0,0,0,5,2,0.002,0.02,0.018,,1,
HaLanfo94ezLc3JZ55qqxr7W3qbe1PprJyv2uEtriEqN,0,0,0,7,2,0.002,0.02,0.018,,3,
9ppJrpsbbuGNjiMhhD52Ueco4KXUzVfrtNQ6tAcDab4f,0,0,0,6,2,0.002,0.02,0.018,,2,
Tri1F8B6YtjkBztGCwBNSLEZib1EAqMUEUM7dTT7ZG3,0,0,0,4,2,0.002,0.02,0.018,,1,
7cVfgArCheMR6Cs4t6vz5rfnqd56vZq4ndaBrY5xkxXy,0,0,0,7,2,0.002,0.02,0.018,,4,
H8fHToVcZPi5bupGZohGPX2SWs8NHzgFKQ31wi5n6oux,0,0,1,4,2,0.002,0.02,0.018,,1,
VALiDcyCpujxjJAZDK2av2TpMAigpSodzj2ApqgR4e6,0,0,0,4,2,0.002,0.02,0.018,,1,
5fSQdv4zsAJNx6RKpGho6sL6rY6a8nziaqcmwaRJB9NE,0,0,0,5,2,0.002,0.02,0.018,,1,
G9vCpJUUSpEm4zPwzSNpDmZ8MGwLEbiSLV59EBzCGvzM,0,0,0,10,2,0.002,0.02,0.018,,6,
4W3jdXyqhLCjzA3Liu8ZNjViwrc6N9YjSB7obbxfjcKE,0,0,0,5,2,0.002,0.02,0.018,,1,
Fudp7uPDYNYQRxoq1Q4JiwJnzyxhVz37bGqRki3PBzS,0,0,0,4,2,0.002,0.02,0.018,,1,
PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb,0,0,0,6,2,0.002,0.02,0.018,,3,
aXiomFkk6VzXaBhPuhMqTLZZguCFzzbyP9LTtZ7ZHLQ,4,4,0,8,0,0.004,0.016,0.012,,11,
U82KEYMnuCiZSQbvuCJTZ652HX9NQ63uNSnxyucshrk,0,0,0,3,1,0.001,0.01,0.009,,2,
THWsLPufeq9LWs2H9vYPbtFwdxAHbQHvSbT6pztG8x1,0,0,0,2,1,0.001,0.01,0.009,,1,
SSmBEooM7RkmyuXxuKgAhTvhQZ36Z3G2WsmLGJKoQLY,0,0,0,4,1,0.001,0.01,0.009,,2,
SANDCxXBbQhvbUqNtiLqKdFEY1uQhVo1UgUACaS4mXU,0,0,0,2,1,0.001,0.01,0.009,,1,
revtecFsGSRCdF29atQvchSXrjwBesA9vSisD4fyH5K,0,0,0,2,1,0.001,0.01,0.009,,1,
MagiCBYNPD9iTBXqiFybAFCREQzG6MSM4LmFLXQZxuV,0,0,0,3,1,0.001,0.01,0.009,,1,
HpcB5Qg8Y9E73dUkot5e8HkgAJbExsYeUzniY4bCuKac,0,0,1,4,1,0.001,0.01,0.009,,2,
FUNDTXgtnkfuhK6G6JUi5CzxPWeZNF9n96vFuBNGFy1v,0,0,0,3,1,0.001,0.01,0.009,,2,
Ha1iade1AH3B12K9SccfWoPdFtQKKQsj2ZyWwxcjqJJU,0,0,0,2,1,0.001,0.01,0.009,,1,
uEhHSnCXvWgtgvVaYscPHjG13G3peMmngQQ2ghC54i3,0,0,0,3,1,0.001,0.01,0.009,,1,
GmCxjmjKZoaKN1DKunbYq8RCYib94Nm3sHyncFfofaF5,0,0,0,5,1,0.001,0.01,0.009,,3,
GQzMeEMwAR44ugoNCifTb5NdRKos1GduDUPeNh6AgV46,0,0,0,9,1,0.001,0.01,0.009,,8,
FACb6bbTDRBHCK999V8ox8jga5JBnt1r3vvzmAYAMv2o,0,0,0,2,1,0.001,0.01,0.009,,1,
ciTyjzN9iyobidMycjyqRRM7vXAHXkFzH3m8vEr6cQj,0,0,0,4,1,0.001,0.01,0.009,,2,
nateKhsYkrVc992UuTfAhEEFQqr2zQfpGg9RafNkxdC,0,0,0,2,1,0.001,0.01,0.009,,1,
CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A,0,0,0,6,1,0.001,0.01,0.009,,5,
ACvL73V4GNnxPVfZ7K89jCrYurLyzpEuE9qirjvh2Xmi,0,0,0,2,1,0.001,0.01,0.009,,1,
3YVoK8UN62dyiPZnGBzBTkGdwsVmmK1MpRoLcxNRs9BE,0,0,0,3,1,0.001,0.01,0.009,,2,
BXAxLMMMUNYfC1z166VjWHR3WjTmqzLxB837o5ghmRtH,0,0,0,6,1,0.001,0.01,0.009,,4,
6XKqyUVUcpe3CNucjF6gk5zonJDqNGvob6kaTy4Ps1U,0,0,0,5,1,0.001,0.01,0.009,,3,
5zm9g3zgAPWzX3wmUB2JtTkcwCqe74NWsTmt5wLFwCKK,0,0,1,5,1,0.001,0.01,0.009,,3,
8aySXUFrqJz5kath6aVijrkBH8ZtxMWJGhYXwYBpKmHK,0,0,0,3,1,0.001,0.01,0.009,,2,
C1ocKDYMCm2ooWptMMnpd5VEB2Nx4UMJgRuYofysyzcA,0,0,0,3,1,0.001,0.01,0.009,,2,
8augxYLUge2iWmitQMwbcBL5VQEpsM6aJdRofhwpnzyw,0,0,0,4,1,0.001,0.01,0.009,,2,
3DaPk6TdeGnEBwTR8fEyZSLkdayk6vZXrqGZhAgYK8BV,0,0,0,2,1,0.001,0.01,0.009,,1,
BfgMdL4FaNHp5zZpD7WMYG5sZUrCWQPEjXDwWS7M5q3F,0,0,0,2,1,0.001,0.01,0.009,,1,
CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2,0,0,0,6,1,0.001,0.01,0.009,,4,
HbidP4hpQdwhkzrxder3x3VNPt6DQnE25gFG46napD2p,2,2,0,10,0,0.002,0.008,0.006,,11,
NWY18yrPHsTogTDq78HpB51D7gC5AGRsvJ5pPqSchkH,2,2,0,1,0,0.002,0.008,0.006,,2,
Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh,0,0,0,3,0,0.0,0.0,0.0,,3,
5tfcGyf3NQFcufDigvbRt9kWoVN2KPEkBRUY3UaC3Zwm,0,0,0,1,0,0.0,0.0,0.0,,1,
5d9Mdc2Zk8as8GL1AxQeXxv5htBBvC5bjfmsXC7UUWwG,0,0,0,1,0,0.0,0.0,0.0,,1,
5RvfTSowms7BTYaBj8SxVjj7ELAAKdQadKsuNpmBAwCs,0,0,0,1,0,0.0,0.0,0.0,,1,
5MAGJ3zShtXMMVXjZRoFqtFF7XhP8iLSyZrxdL7KpjcB,0,0,0,1,0,0.0,0.0,0.0,,1,
UZBmptMjMSQEPKm4WyUkJeAuvZSqTuNK3cQCKFqJcXT,0,0,0,1,0,0.0,0.0,0.0,,1,
57i31UEyDg4koaZMZ1wAHbYuezXv3AVaHtvJgJarxt3f,0,0,0,2,0,0.0,0.0,0.0,,2,
VQwCCSfW3o5NDx7n5FBr9SoYiLXVgetstHvaWBvv2YH,0,0,0,3,0,0.0,0.0,0.0,,3,
DiveRaPKviyDnQyiiMFdV4rujsCBJzMNvPjKfvGNLGvL,0,0,0,1,0,0.0,0.0,0.0,,1,
