sim,trigger,cascades,slots_jumped,total_loss,scenario,scenario_name,infra_gap,high_risk,oracle_lag_ms
186,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
187,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
188,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
189,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
190,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
191,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
192,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
193,1,2,2,168.364697105929,bam_privacy,BAM Privacy (65% visibility reduction),0.6762217363347519,0,180.0
194,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
195,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
196,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
197,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
198,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
199,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
200,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
201,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
202,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
203,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
204,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
205,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
206,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
207,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
208,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
209,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
210,0,0,0,0.0,bam_privacy,BAM Privacy (65% visibility reduction),0.0,0,180.0
